,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Sao Filipe,CV,14.8961,-24.4956,73.22,80,8,10.31,clear sky
151,Hilo,US,19.7297,-155.09,82.27,77,75,13.8,broken clouds
152,Ures,MX,29.4333,-110.4,94.95,10,6,15.21,clear sky
153,Port-Gentil,GA,-0.7193,8.7815,78.76,94,40,3.44,scattered clouds
154,Miandrivazo,MG,-19.5167,45.4667,68.59,83,20,2.35,few clouds
155,Mana,GF,5.6592,-53.7767,77.56,86,13,9.1,few clouds
156,Cam Ranh,VN,11.9214,109.1591,78.76,83,20,0.0,few clouds
157,Tyubuk,RU,56.0552,60.9405,48.49,91,100,11.1,light rain
158,Topolobampo,MX,25.6,-109.05,85.91,45,0,16.11,clear sky
159,Moussoro,TD,13.6408,16.4901,90.81,36,93,9.17,overcast clouds
160,Chauk,MM,20.8833,94.8167,80.8,78,99,8.21,overcast clouds
161,Richards Bay,ZA,-28.783,32.0377,63.1,89,62,6.91,broken clouds
162,Biak,ID,-0.9131,122.8766,77.36,85,100,1.3,overcast clouds
163,Saint-Francois,FR,46.4154,3.9054,55.67,87,0,3.44,clear sky
164,Ponta Do Sol,PT,32.6667,-17.1,69.12,48,66,8.75,light rain
165,Tingo Maria,PE,-9.2895,-76.0088,73.89,87,27,1.28,scattered clouds
166,Lubao,PH,14.9167,120.55,82.47,70,62,3.47,broken clouds
167,Massaguet,TD,12.4755,15.4365,91.35,33,93,7.16,overcast clouds
168,Arauco,CL,-37.2463,-73.3175,54.5,66,100,3.83,overcast clouds
169,Dalmatovo,RU,56.26,62.9362,52.65,73,100,16.33,light rain
170,Lata,PT,40.1629,-8.3327,55.63,71,16,1.86,few clouds
171,Kolomak,UA,49.8399,35.3044,39.51,75,63,9.93,broken clouds
172,Norman Wells,CA,65.282,-126.8329,48.24,29,75,4.61,broken clouds
173,Grand-Santi,GF,4.25,-54.3833,73.15,99,12,2.73,few clouds
174,Bonavista,CA,48.6499,-53.1147,44.56,71,3,15.17,clear sky
175,Antalaha,MG,-14.9003,50.2788,71.96,92,12,3.8,few clouds
176,Esperance,AU,-33.8667,121.9,62.44,34,50,15.41,scattered clouds
177,Hokitika,NZ,-42.7167,170.9667,56.79,52,2,2.59,clear sky
178,Santiago Del Estero,AR,-27.7951,-64.2615,70.12,57,7,5.95,clear sky
179,Barahona,DO,18.2085,-71.1008,80.42,78,20,16.11,few clouds
180,San Patricio,US,28.017,-97.5169,88.52,55,29,20.89,scattered clouds
181,Ormara,PK,25.2088,64.6357,81.73,77,0,7.99,clear sky
182,Aswan,EG,24.0934,32.907,85.3,16,0,9.22,clear sky
183,Hatfield,GB,51.7634,-0.2242,58.32,79,100,8.05,overcast clouds
184,Ballina,AU,-28.8667,153.5667,71.56,73,75,12.66,broken clouds
185,Vaitape,PF,-16.5167,-151.75,82.2,73,17,16.93,light rain
186,Fort Saint James,CA,54.4333,-124.25,54.79,34,88,7.67,overcast clouds
187,Badulla,LK,6.9895,81.0557,70.72,86,99,6.58,overcast clouds
188,Mamlyutka,KZ,54.9375,68.5394,51.89,67,100,14.67,light rain
189,Cidreira,BR,-30.1811,-50.2056,63.37,96,100,4.09,overcast clouds
190,Marolambo,MG,-20.05,48.1167,60.51,85,6,3.6,clear sky
191,Dikson,RU,73.5069,80.5464,25.38,96,100,26.8,snow
192,Nouadhibou,MR,20.931,-17.0347,71.58,83,89,21.85,overcast clouds
193,Ilawe,NG,7.8667,4.4333,73.78,97,90,4.65,overcast clouds
194,Xining,CN,36.6167,101.7667,48.67,76,89,2.51,overcast clouds
195,Burg,DE,51.8333,14.15,65.77,71,97,8.1,overcast clouds
196,Buala,SB,-8.145,159.5921,81.95,80,100,6.8,light rain
197,Zyryanka,RU,65.75,150.85,27.16,89,100,14.38,overcast clouds
198,Tessalit,ML,20.1986,1.0114,85.06,8,0,9.17,clear sky
199,Tiarei,PF,-17.5333,-149.3333,86.02,77,15,16.69,few clouds
200,Wanning,CN,18.8003,110.3967,79.03,92,82,8.61,broken clouds
201,Saint-Pierre,RE,-21.3393,55.4781,73.9,60,0,6.91,clear sky
202,Lashio,MM,22.9333,97.75,67.32,99,98,1.34,overcast clouds
203,Saint-Augustin,CA,51.226,-58.6502,53.22,57,96,14.03,overcast clouds
204,East London,ZA,-33.0153,27.9116,66.58,42,100,6.06,overcast clouds
205,Zhigansk,RU,66.7697,123.3711,26.94,96,100,8.9,overcast clouds
206,Adrar,MR,20.5022,-10.0711,86.27,10,6,8.95,clear sky
207,Porto Seguro,BR,-16.4497,-39.0647,72.12,88,20,2.3,few clouds
208,Husavik,IS,66.0449,-17.3389,32.25,97,100,12.39,snow
209,Hinton,CA,53.4001,-117.5857,51.44,43,100,5.21,overcast clouds
210,Taraz,KZ,42.9,71.3667,59.41,94,100,2.24,overcast clouds
211,Yuci,CN,37.6803,112.7319,55.15,71,100,8.95,haze
212,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.18,69,55,3.24,broken clouds
213,Nehe,CN,48.4833,124.8333,43.79,60,100,8.68,overcast clouds
214,Erenhot,CN,43.6475,111.9767,38.34,31,0,12.44,clear sky
215,Hambantota,LK,6.1241,81.1185,81.19,80,97,22.03,overcast clouds
216,Mackay,AU,-21.15,149.2,72.68,94,100,5.75,light rain
217,Jining,CN,35.405,116.5814,58.57,73,100,3.67,overcast clouds
218,Kaoma,ZM,-14.7833,24.8,60.06,60,4,3.49,clear sky
219,Hals,DK,56.9961,10.3081,48.16,93,2,12.68,clear sky
220,Mount Gambier,AU,-37.8333,140.7667,48.11,100,40,3.44,scattered clouds
221,Plastun,RU,44.7561,136.2939,60.08,39,98,4.61,overcast clouds
222,Alofi,NU,-19.0595,-169.9187,82.29,69,75,17.27,broken clouds
223,Maba,CN,24.6841,113.5984,68.0,97,100,2.37,overcast clouds
224,Peace River,CA,56.2501,-117.286,46.71,61,75,9.22,broken clouds
225,Tutoia,BR,-2.7619,-42.2744,77.25,87,100,10.18,overcast clouds
226,Togul,RU,53.465,85.9128,35.76,42,0,10.87,clear sky
227,Kruisfontein,ZA,-34.0033,24.7314,60.04,76,77,15.05,broken clouds
228,Gwadar,PK,25.1216,62.3254,80.87,73,21,8.84,few clouds
229,Hervey Bay,AU,-25.2986,152.8535,71.02,97,100,4.0,light rain
230,Mirnyy,RU,62.5353,113.9611,39.24,41,64,4.0,broken clouds
231,Grand Gaube,MU,-20.0064,57.6608,75.38,79,29,13.35,scattered clouds
232,Port Lincoln,AU,-34.7333,135.8667,61.21,63,0,8.39,clear sky
233,Kita,ML,13.0349,-9.4895,88.92,10,30,4.03,scattered clouds
234,Santiago,CL,-33.4569,-70.6483,70.99,44,75,5.75,broken clouds
235,Wuxue,CN,29.8506,115.5525,64.85,85,100,3.15,overcast clouds
236,Gossas,SN,14.4912,-16.0642,78.82,62,19,9.33,few clouds
237,Lakatoro,VU,-16.0999,167.4164,82.51,73,74,19.08,broken clouds
238,Gat,IL,31.61,34.7642,67.41,56,0,1.23,clear sky
239,Winnemucca,US,40.973,-117.7357,44.65,39,75,4.61,broken clouds
240,Dorado,PR,18.4588,-66.2677,83.17,71,75,10.36,broken clouds
241,Port Macquarie,AU,-31.4333,152.9167,64.89,65,100,11.01,overcast clouds
242,Katobu,ID,-4.9408,122.5276,78.6,88,100,0.89,overcast clouds
243,Manzanillo,CU,20.3433,-77.1167,78.73,77,83,6.93,broken clouds
244,Ribeira Grande,PT,38.5167,-28.7,61.14,90,77,23.17,light rain
245,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,100,75,16.44,light intensity drizzle rain
246,Nome,US,64.5011,-165.4064,35.17,93,100,9.22,mist
247,La Ronge,CA,55.1001,-105.2842,53.82,40,75,10.36,broken clouds
248,Tortoli,IT,39.9256,9.6572,62.42,72,0,11.5,clear sky
249,Asau,RO,46.4333,26.4,47.95,98,81,3.53,broken clouds
250,Lazaro Cardenas,MX,17.9583,-102.2,82.06,66,79,7.16,broken clouds
251,Nikolskoye,RU,59.7035,30.7861,48.09,76,79,5.19,broken clouds
252,Yanam,IN,16.7333,82.2167,81.0,84,100,15.35,overcast clouds
253,Pareora,NZ,-44.4871,171.2132,55.18,97,4,5.26,clear sky
254,Airai,TL,-8.9266,125.4092,68.04,63,56,1.72,broken clouds
255,Anshun,CN,26.25,105.9333,61.0,94,94,7.27,overcast clouds
256,Tuni,IN,17.35,82.55,80.94,85,100,15.79,heavy intensity rain
257,Rundu,NA,-17.9333,19.7667,56.79,29,0,3.6,clear sky
258,Gizo,SB,-8.103,156.8419,84.49,74,93,10.67,light rain
259,Saint George,US,37.1041,-113.5841,73.63,8,0,16.11,clear sky
260,San-Pedro,CI,4.7485,-6.6363,79.83,86,83,6.38,broken clouds
261,Huicheng,CN,23.0385,116.2899,75.06,92,100,2.98,overcast clouds
262,Manaus,BR,-3.1019,-60.025,82.89,74,20,4.61,few clouds
263,Clinton,US,42.587,-82.9199,80.06,45,100,1.99,overcast clouds
264,Weimar,DE,50.9833,11.3167,62.69,78,95,7.25,overcast clouds
265,Aklavik,CA,68.2191,-135.0107,32.59,83,100,17.54,overcast clouds
266,Balad,IQ,34.0164,44.1453,71.94,30,0,9.73,clear sky
267,Wilmington Island,US,32.0036,-80.9737,80.69,43,0,4.61,clear sky
268,Yabassi,CM,4.457,9.9682,75.81,98,100,0.65,light rain
269,Rocha,UY,-34.4833,-54.3333,57.56,96,100,6.64,overcast clouds
270,Plettenberg Bay,ZA,-34.0527,23.3716,59.13,58,38,7.61,scattered clouds
271,Lamu,KE,-2.2717,40.902,80.82,82,20,15.01,few clouds
272,Tiksi,RU,71.6872,128.8694,24.58,86,62,9.35,broken clouds
273,Torbay,CA,47.6666,-52.7314,48.97,53,20,11.5,few clouds
274,Yinchuan,CN,38.4681,106.2731,55.2,31,30,10.6,scattered clouds
275,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,84.88,15,27,20.38,scattered clouds
276,Santa Maria,BR,-29.6842,-53.8069,61.9,100,40,3.44,light rain
277,Isangel,VU,-19.55,169.2667,82.51,65,75,6.91,broken clouds
278,Talaya,RU,61.3833,152.75,36.3,100,100,8.7,overcast clouds
279,Clyde River,CA,70.4692,-68.5914,21.43,79,0,11.5,clear sky
280,Manitouwadge,CA,49.1215,-85.8403,59.59,68,46,7.74,scattered clouds
281,Kawalu,ID,-7.3817,108.2082,76.73,93,64,0.54,broken clouds
282,Casablanca,MA,33.5928,-7.6192,75.33,53,46,4.0,scattered clouds
283,Tura,IN,25.5198,90.2201,70.77,97,79,4.5,broken clouds
284,Mayo,US,38.8876,-76.5119,72.01,51,0,9.22,clear sky
285,Tilichiki,RU,60.4667,166.1,33.57,99,100,3.53,overcast clouds
286,Iacu,BR,-12.7672,-40.2117,71.31,82,76,3.98,broken clouds
287,Dotnuva,LT,55.35,23.9,44.82,72,96,8.12,overcast clouds
288,Pakokku,MM,21.3333,95.1,81.84,76,98,5.01,overcast clouds
289,Labuhan,ID,-6.8844,112.2051,80.28,88,96,6.89,overcast clouds
290,Pangoa,PE,-12.1167,-73.0,73.27,75,63,2.17,broken clouds
291,Gusau,NG,12.1628,6.6614,87.6,40,68,8.77,broken clouds
292,Hamilton,US,39.1834,-84.5333,83.21,60,40,9.22,scattered clouds
293,Toca,CO,5.5639,-73.184,52.09,94,80,3.33,light rain
294,Verkhnyaya Toyma,RU,62.2349,44.9985,33.82,72,90,4.63,overcast clouds
295,Severo-Kurilsk,RU,50.6789,156.125,36.7,94,86,7.58,overcast clouds
296,Pochutla,MX,15.7432,-96.4661,87.82,66,76,5.77,broken clouds
297,Grindavik,IS,63.8424,-22.4338,40.95,75,75,17.27,broken clouds
298,Skopelos,GR,39.1247,23.7247,60.21,67,39,8.93,scattered clouds
299,Cervo,ES,43.6702,-7.4101,52.97,81,14,4.81,few clouds
300,Karratha,AU,-20.7377,116.8463,71.46,22,79,12.57,broken clouds
301,Mezen,RU,65.8522,44.24,36.91,88,87,8.81,overcast clouds
302,Prainha,BR,-1.8,-53.48,74.03,97,51,3.31,broken clouds
303,Barbatesti,RO,45.1833,24.1167,46.06,94,48,3.56,scattered clouds
304,Necochea,AR,-38.5473,-58.7368,50.04,76,98,4.94,overcast clouds
305,Ixtapa,MX,20.7,-105.2,81.23,78,20,13.8,few clouds
306,Cap Malheureux,MU,-19.9842,57.6142,75.47,79,25,13.22,scattered clouds
307,Urumqi,CN,43.801,87.6005,61.75,29,87,4.47,dust
308,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,61.21,93,7,0.98,clear sky
309,Pevek,RU,69.7008,170.3133,29.59,76,74,7.45,broken clouds
310,Duluth,US,46.7833,-92.1066,81.18,21,0,9.22,clear sky
311,Badhni Kalan,IN,30.6833,75.2833,86.38,34,0,6.64,clear sky
312,Mareeba,AU,-17.0,145.4333,73.47,91,100,2.84,overcast clouds
313,Phalombe,MW,-15.8064,35.6507,60.21,90,4,2.55,clear sky
314,Sechura,PE,-5.5569,-80.8222,69.53,70,31,16.42,scattered clouds
315,Upernavik,GL,72.7868,-56.1549,18.48,90,70,6.73,broken clouds
316,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,17.27,few clouds
317,Maturin,VE,9.75,-63.1767,78.73,62,15,7.94,few clouds
318,Cabo San Lucas,MX,22.8909,-109.9124,89.91,22,0,9.22,clear sky
319,Coahuayana,MX,18.7333,-103.6833,84.09,55,83,6.08,broken clouds
320,Seoul,KR,37.5683,126.9778,65.77,47,0,3.44,clear sky
321,Nchelenge,ZM,-9.3451,28.734,65.19,64,4,5.44,clear sky
322,Sasovo,RU,54.3537,41.9199,44.01,96,100,16.98,light rain
323,Agadez,NE,19.75,10.25,88.72,17,77,10.92,broken clouds
324,Ust-Kut,RU,56.7938,105.7672,40.46,56,59,3.47,broken clouds
